type_of_property,price,building_condition,facade_number,living_area,equipped_kitchen,terrace,garden,subtype_ecoded,km_to_capital
0,525000.0,2,3.0,160,2,40,0,15,5.29
0,175000.0,2,2.0,29,2,0,0,2,0.71
0,354000.0,2,2.0,74,2,5,0,7,4.04
0,399000.0,2,3.0,120,2,8,0,7,2.5
0,695000.0,2,2.0,150,2,0,0,7,0.41
0,695000.0,2,2.0,150,2,0,0,7,3.3
0,995000.0,2,2.0,165,1,8,0,7,1.61
0,240000.0,2,1.0,51,1,2,0,7,7.37
0,255000.0,2,2.0,93,2,8,0,7,17.91
0,155000.0,2,2.0,37,0,0,0,2,33.32
0,170000.0,2,2.0,70,0,1,0,7,43.59
0,199000.0,2,2.0,118,2,5,80,6,1097.53
0,290000.0,2,2.0,134,0,0,0,7,43.59
0,299000.0,1,2.0,155,1,0,0,7,9.77
0,338000.0,2,3.0,87,0,4,0,7,1.07
0,335000.0,2,2.0,92,2,6,0,7,1.61
0,385000.0,2,2.0,94,1,20,0,7,0.41
0,274900.0,2,2.0,70,1,0,80,7,7.13
0,170000.0,2,2.0,68,2,1,0,7,5.56
0,210000.0,2,2.0,90,0,1,0,7,5.56
0,295000.0,2,2.0,90,0,2,0,7,3.33
0,361000.0,2,2.0,74,0,39,0,7,13.25
0,250000.0,2,2.0,82,2,3,90,6,4.01
1,320000.0,2,2.0,113,1,16,0,9,21.36
0,398000.0,2,3.0,125,2,1,0,7,1.07
0,399000.0,2,2.0,112,1,0,0,7,3.3
0,548000.0,2,2.0,141,0,4,0,15,21.36
0,145000.0,1,3.0,67,1,0,0,7,17.59
0,159900.0,2,2.0,48,1,0,0,7,13.72
0,280000.0,2,2.0,70,0,1,0,7,13.72
0,360000.0,2,3.0,101,2,5,0,7,5.29
0,695000.0,2,2.0,132,2,32,32,7,3.3
0,150000.0,2,2.0,46,1,12,0,2,2.53
0,230000.0,2,2.0,85,0,7,0,7,21.36
0,435000.0,2,2.0,100,1,2,0,7,0.41
0,249000.0,2,2.0,92,1,0,0,7,7.13
0,385000.0,2,2.0,124,1,1,0,7,13.72
0,650000.0,2,2.0,107,2,16,52,6,5.29
0,375000.0,2,4.0,96,2,12,0,7,0.41
0,130000.0,2,2.0,55,2,0,0,7,3.96
0,299000.0,2,2.0,105,1,13,0,7,6.52
0,329000.0,2,2.0,162,1,9,0,7,2.1
0,920000.0,2,3.0,360,2,18,45,7,2.1
0,330000.0,2,3.0,107,2,19,0,7,0.41
0,250000.0,2,2.0,87,1,10,20,6,31.56
0,280000.0,2,3.0,129,1,3749,60,6,39.91
0,297000.0,2,4.0,72,2,16,0,7,24.02
0,215000.0,2,2.0,94,1,7,0,7,2.1
0,349000.0,2,2.0,87,2,1,0,7,1.85
0,865000.0,1,3.0,195,1,45,0,15,3.3
0,189000.0,2,2.0,81,0,0,0,7,67.04
0,255000.0,2,2.0,98,0,0,0,7,6.22
0,279000.0,2,2.0,52,1,0,0,7,1.61
0,325000.0,1,2.0,83,0,0,0,7,1.61
0,375000.0,2,2.0,110,2,19,0,7,3.32
1,375000.0,2,2.0,100,0,0,0,12,1.61
0,314900.0,2,2.0,125,1,0,150,6,3.95
0,325000.0,2,2.0,100,2,10,0,7,6.38
0,449000.0,1,3.0,110,2,100,0,7,5.01
0,550000.0,2,2.0,143,1,18,0,7,6.77
0,590000.0,1,3.0,160,2,1,0,7,6.38
0,1175000.0,2,3.0,260,2,1,0,7,0.41
0,279000.0,2,4.0,97,2,1,0,7,5.95
0,490000.0,2,2.0,180,2,9,0,7,0.41
0,490000.0,2,2.0,180,2,9,0,7,3.3
0,235000.0,2,3.0,84,2,20,0,6,43.26
0,375000.0,2,2.0,121,1,1,0,7,6.52
0,259000.0,1,2.0,110,2,5,0,7,6.52
0,375000.0,1,2.0,100,1,9,0,7,3.3
0,189000.0,2,2.0,45,2,0,0,7,1.07
0,595000.0,2,2.0,129,0,17,0,7,1.61
0,750000.0,2,2.0,155,2,6,0,7,2.57
0,235000.0,2,2.0,59,1,0,0,2,0.41
0,395000.0,2,2.0,85,2,4,0,7,6.38
0,420000.0,2,2.0,123,2,2,0,7,0.41
0,475000.0,2,2.0,100,1,6,0,7,0.41
0,179000.0,1,2.0,84,1,0,0,6,3.33
0,299500.0,2,2.0,106,1,10,0,7,7.37
0,385000.0,2,3.0,105,2,6,0,7,2.57
0,275000.0,2,2.0,85,2,18,0,7,2.5
0,525000.0,2,2.0,95,1,120,0,7,5.01
0,525000.0,2,2.0,100,0,0,0,7,17.1
0,490000.0,2,2.0,137,2,3,87,6,5.56
0,288000.0,2,2.0,85,2,15,0,7,18.41
0,155000.0,2,3.0,85,1,0,0,7,90.73
0,1350000.0,2,4.0,395,2,100,0,15,3.3
0,115000.0,2,2.0,35,1,0,0,2,29.31
0,449000.0,2,2.0,165,0,6,0,7,1.07
0,269900.0,2,2.0,92,1,4,0,7,1.07
0,360000.0,2,2.0,116,1,5,0,7,7.7
0,385000.0,2,2.0,73,0,0,0,7,1.61
0,570000.0,2,2.0,122,1,15,0,7,3.3
0,645000.0,2,2.0,155,2,12,0,7,6.38
0,142500.0,2,2.0,44,1,0,0,7,2.5
0,195000.0,1,2.0,64,2,0,0,7,2.57
0,265000.0,2,2.0,85,2,4,0,6,3.32
0,295000.0,2,2.0,75,2,6,0,7,2.5
0,295000.0,2,2.0,65,2,4,0,7,5.01
0,310000.0,2,3.0,117,2,16,0,7,2.53
0,460000.0,2,2.0,185,2,17,0,7,0.41
0,1195000.0,2,3.0,215,2,45,0,15,5.01
1,1650000.0,2,2.0,173,2,40,0,12,11.72
0,399000.0,2,2.0,95,2,0,0,7,5.1
